districtID,district,provinceID,province,islandID,island,grdp_pc_2000,grdp_pc_2001,grdp_pc_2002,grdp_pc_2003,grdp_pc_2004,grdp_pc_2005,grdp_pc_2006,grdp_pc_2007,grdp_pc_2008,grdp_pc_2009,grdp_pc_2010,grdp_pc_2011,grdp_pc_2012,grdp_pc_2013,grdp_pc_2014,grdp_pc_2015,grdp_pc_2016,grdp_pc_2017,grdp_pc_2018,grdp_pc_2019,grdp_pc_2020,grdp_pc_2021,grdp_pc_2022,grdp_pc_2023,grdp_pc_2024
3216,Bekasi,32,Jawa Barat,3,Jawa,55369.4,55212.1,54838.0,54320.0,54728.5,55460.5,55944.7,56694.5,57478.9,57776.9,58452.7,59593.1,60773.2,62026.0,63137.1,63447.4,64042.0,65201.0,66636.0,68158.0,78345.0,79962.0,83010.0,86249.0,89700.0
3217,Bandung Barat,32,Jawa Barat,3,Jawa,8925.5,9158.1,9411.0,9691.1,10027.9,10450.4,10843.3,11253.8,11860.7,12234.9,12685.3,13215.2,13814.0,14437.5,15076.6,15641.7,16335.0,17000.0,17752.0,18773.0,17198.0,17530.0,18206.0,18854.0,19528.0
3218,Pangandaran,32,Jawa Barat,3,Jawa,9012.6,9328.9,9646.0,9973.6,10344.5,10791.5,11198.8,11649.7,12122.4,12619.9,13067.5,13626.5,14229.7,14850.0,15384.2,16059.6,16809.0,17564.0,18401.0,19307.0,18304.0,18851.0,19660.0,20558.0,21479.0
3271,Kota Bogor,32,Jawa Barat,3,Jawa,14092.1,13977.6,14423.8,14921.8,15487.4,16171.1,16781.2,17463.9,18161.2,18899.2,19634.1,20449.6,21308.8,22196.0,23125.6,24143.0,25362.0,26508.0,27729.0,29643.0,30893.0,31755.0,33234.0,34608.0,36134.0
3272,Kota Sukabumi,32,Jawa Barat,3,Jawa,11606.6,11986.8,12399.9,12829.3,13362.1,14023.1,14676.7,15437.2,16047.7,16974.3,17743.4,18634.5,19383.6,20210.2,21092.0,21957.3,22982.0,24029.0,25162.0,26527.0,24724.0,25278.0,26234.0,27179.0,28171.0
3273,Kota Bandung,32,Jawa Barat,3,Jawa,21758.3,23104.0,24415.3,25849.7,27491.7,29420.0,31406.0,33735.6,36204.0,38978.2,41853.7,45186.1,48932.8,52471.0,56240.4,60277.2,64734.0,69198.0,73924.0,77545.0,79032.0,81422.0,85039.0,88554.0,92183.0
3274,Kota Cirebon,32,Jawa Barat,3,Jawa,24773.6,25308.6,25920.0,26563.6,27403.9,28493.6,29653.6,31118.0,32500.5,33770.7,34491.1,36194.9,37844.9,39316.9,41174.2,43152.1,45339.0,47533.0,50011.0,53245.0,50074.0,51088.0,53196.0,55367.0,57660.0
3275,Kota Bekasi,32,Jawa Barat,3,Jawa,14203.9,14390.5,14570.1,14772.9,15044.7,15451.8,15852.8,16362.4,16815.1,16994.8,17401.6,18088.9,18774.1,19351.9,19880.0,20426.4,21108.0,21752.0,22458.0,23580.0,26629.0,27179.0,28198.0,29401.0,30730.0
3276,Kota Depok,32,Jawa Barat,3,Jawa,12770.4,12865.4,12996.6,13143.6,13372.4,13750.6,14033.9,14404.3,14722.9,15034.0,15312.0,15714.8,16226.9,16718.1,17306.5,17819.2,18471.0,19065.0,19731.0,20802.0,23497.0,24000.0,24870.0,25740.0,26919.0
3277,Kota Cimahi,32,Jawa Barat,3,Jawa,19139.7,19552.2,19907.1,20295.5,20788.0,21461.0,22090.0,22838.7,23558.4,24275.8,25105.2,26087.4,27036.5,28151.1,29284.2,30476.7,31787.0,33118.0,34867.0,38002.0,39336.0,40518.0,42312.0,43894.0,45594.0
3278,Kota Tasikmalaya,32,Jawa Barat,3,Jawa,9751.4,9992.4,10275.6,10587.1,11002.8,11392.2,11858.2,12475.0,13094.5,13752.0,14398.7,15134.1,15929.3,16821.2,17772.0,18814.3,20050.0,21209.0,22421.0,23320.0,21601.0,22100.0,22910.0,23973.0,24922.0
3279,Kota Banjar,32,Jawa Barat,3,Jawa,8195.0,8352.7,8535.9,8734.9,9024.1,9396.0,9742.6,10146.6,10564.9,11033.3,11501.0,12039.2,12594.6,13204.9,13799.4,14463.3,15244.0,16008.0,16777.0,17291.0,16229.0,16633.0,17142.0,17745.0,18514.0
3301,Cilacap,33,Jawa Tengah,3,Jawa,28452.4,29671.0,32011.4,33817.4,35839.1,38365.1,40075.7,40882.8,43102.0,43500.2,45187.4,46721.9,47833.6,48340.3,49470.5,52137.6,54514.0,55651.0,57052.0,58370.0,46427.0,46738.0,48637.0,50721.0,51564.0
3302,Banyumas,33,Jawa Tengah,3,Jawa,10539.9,10833.7,11205.9,11502.8,11860.8,12117.5,12533.6,13013.7,13578.2,14183.8,14868.4,15589.6,16341.6,17310.2,18120.4,19051.2,20023.0,21109.0,22282.0,23607.0,22066.0,22723.0,23799.0,24826.0,25876.0
3303,Purbalingga,33,Jawa Tengah,3,Jawa,8995.1,9203.3,9473.1,9661.4,9872.7,10169.3,10565.7,11096.0,11556.6,12104.0,12661.9,13271.4,13944.9,14522.4,15068.0,15728.4,16327.0,17036.0,17789.0,18708.0,17258.0,17623.0,18381.0,19014.0,19682.0
3304,Banjarnegara,33,Jawa Tengah,3,Jawa,8229.1,8182.2,8188.5,8368.7,8623.1,8897.6,9216.7,9608.8,10015.2,10453.0,10895.6,11344.0,11851.2,12409.3,12979.4,13601.3,14253.0,14967.0,15724.0,16596.0,14825.0,15147.0,15782.0,16400.0,17069.0
3305,Kebumen,33,Jawa Tengah,3,Jawa,7936.7,8015.3,8287.8,8491.9,8553.6,8789.2,9108.1,9479.7,9988.5,10339.2,10734.0,11136.4,11695.4,12182.3,12841.1,13601.4,14238.0,14928.0,15713.0,16623.0,14499.0,14862.0,15524.0,16199.0,16849.0
3306,Purworejo,33,Jawa Tengah,3,Jawa,7996.6,8242.2,8604.8,8876.0,9205.6,9610.5,10069.5,10637.0,11187.5,11695.3,12241.1,12798.7,13385.9,13989.5,14564.8,15290.3,16026.0,16827.0,17677.0,18681.0,17090.0,17526.0,18301.0,19062.0,19805.0
3307,Wonosobo,33,Jawa Tengah,3,Jawa,9448.9,9487.1,9628.9,9790.1,9959.4,10218.2,10487.9,10802.0,11138.4,11520.7,11960.2,12423.3,12988.9,13432.6,14002.0,14585.9,15294.0,15858.0,16594.0,17533.0,15473.0,15850.0,16437.0,16936.0,17501.0
3308,Magelang,33,Jawa Tengah,3,Jawa,8909.7,9018.3,9294.8,9566.1,9847.5,10195.6,10586.2,11023.4,11455.5,11875.2,12295.8,12686.2,13286.6,13931.7,14537.6,15145.8,15816.0,16536.0,17257.0,18101.0,17613.0,18087.0,18910.0,19698.0,20529.0
